Country,Year,1st_pillar_Institutions,2nd_pillar_Infrastructure,3rd_pillar_Macroeconomic_environment,4th_pillar_Health_and_primary_education,5th_pillar_Higher_education_and_training,6th_pillar_Goods_market_efficiency,7th_pillar_Labor_market_efficiency,8th_pillar_Financial_market_development,9th_pillar_Technological_readiness,10th_pillar_Market_size,11th_pillar_Business_sophistication_,12th_pillar_Innovation,Global_Competitiveness_Index,Population,GDP,Income group,Region,Forum classification
Albania,2007,3.141744806,2.051676114,4.686575293,5.458579528,3.151906514,3.505968306,4.117654544,3.659731068,2.995638341,2.526907464,3.345207292,2.099299283,3.482580215,3010849,7977,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2008,3.323133487,2.217504774,4.55997215,5.470428925,3.397013732,3.612283268,4.359040679,3.699868765,2.890777447,2.662726238,3.270224135,2.218237655,3.550002867,2968026,8644,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2009,3.619044724,2.844923763,4.236628064,5.479032458,3.554213246,3.888866844,4.408427597,3.929188382,3.188085049,2.82470586,3.370773922,2.429968207,3.724123922,2929886,8994,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2010,3.957185107,3.464313939,4.212275845,5.874698517,3.855178484,4.188979234,4.458867769,3.740927991,3.526929463,2.839079386,3.607754296,2.566653851,3.943731275,2901883,9374,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2011,4.006511063,3.869462568,4.521113316,5.725063856,3.971837717,4.463346594,4.567775164,3.587813885,3.755974767,2.855426941,3.781717152,2.579218467,4.06377645,2886010,9640,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2012,3.648976243,3.475729792,4.270366599,5.555014171,4.111920984,4.328319741,4.400664921,3.379890471,3.692919514,2.892702468,3.588321693,2.6306871,3.906493962,2880667,9811,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2013,3.319568799,3.32546844,4.406858205,5.899012525,4.171320498,4.057770322,4.329643818,3.267955673,3.330313539,2.924290871,3.438396137,2.796914864,3.84696424,2883281,9961,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2014,3.381954811,3.516751619,3.824104571,5.847672617,4.53452579,4.151831147,4.017208816,3.392237156,3.303203923,2.9413939,3.607441879,2.734722027,3.835856618,2889676,10160,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2015,3.683275755,3.553719594,3.962740571,5.973239675,4.744914943,4.3374553,3.969118145,3.241333505,3.395936755,2.973965629,3.651701785,2.76467209,3.92667661,2896679,10620,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2016,3.832056007,3.474116999,4.277402286,6.251636613,4.904494883,4.33424927,3.932139982,3.591114854,3.659868506,2.87395221,3.661936504,2.961890289,4.056030839,2924076,9841,Upper middle income,Emerging and Developing Europe,Europe and North America
Albania,2017,3.877966131,3.56164392,4.595156537,6.236972732,4.767691005,4.431746223,3.964184202,3.8085211,4.070535783,2.990397929,3.902037344,3.199174399,4.184990873,2873457,9783,Upper middle income,Emerging and Developing Europe,Europe and North America
Algeria,2007,3.876484056,2.995882844,6.413003394,5.444267256,3.387694788,3.864971773,3.61557315,3.057651494,2.540854172,4.234940482,3.263605966,2.949866489,3.908777866,34261971,12289,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2008,3.44702692,2.959065189,6.084020375,5.344561524,3.276116864,3.518031742,3.302264067,2.942129082,2.522598336,4.170212572,3.034519883,2.65548693,3.71224713,34811059,12314,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2009,3.20017103,2.911584085,6.389544956,5.2768175,3.297748656,3.356147024,3.451059429,2.785435964,2.559440492,4.266666256,3.126004895,2.638573432,3.949210876,35401790,12285,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2010,3.464162525,3.487563947,4.754424713,5.562716239,3.592209974,3.567966946,3.740399544,2.821963139,2.981231078,4.264050458,3.330189164,2.750186698,3.957176853,36036159,12494,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2011,3.105042098,3.4271207,5.720727556,5.499567947,3.511771127,3.381327152,3.408395466,2.640652852,2.831671986,4.345317144,2.934447395,2.373941433,3.958422237,36717132,12606,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2012,2.657816458,3.160854718,5.709965452,5.371005982,3.377493153,2.99044617,2.785103412,2.392784782,2.588761569,4.33715944,2.537974228,2.088070712,3.716077001,37439427,12779,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2013,3.039100987,3.140439195,5.483429343,5.399535611,3.549215978,3.195060831,2.910987031,2.607142137,2.479601067,4.351333973,2.888452602,2.377319565,3.793697731,38186135,12893,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2014,3.406688241,3.123097642,6.406513806,5.606154415,3.694614323,3.476618829,3.147530796,2.722804574,2.591114215,4.386322276,3.215916622,2.60114176,4.081127498,38934334,13179,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2015,3.485850282,3.075821612,5.346814512,5.582892528,3.749627715,3.505827143,3.23258621,2.771323746,2.630198211,4.74794871,3.287205595,2.759833425,3.967092516,39666519,13434,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2016,3.501223029,3.279515441,4.82616378,5.710817832,3.866196666,3.516536936,3.247002553,2.889397961,3.079439163,4.728665243,3.313744395,2.927971466,3.983432294,41037434,12204,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Algeria,2017,3.628596336,3.562287568,4.633540593,5.766101924,3.95212053,3.639438712,3.265675581,3.05725255,3.357881009,4.778361678,3.316787958,2.940951221,4.065500193,41318142,12135,Upper middle income,"Middle East, North Africa, and Pakistan",Middle East and North Africa
Angola,2007,,,,,,,,,,,,,,19183907,6453,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2008,,,,,,,,,,,,,,19842251,7103,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2009,,,,,,,,,,,,,,20520103,7039,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2010,3.219174708,1.881550864,3.614605177,2.66012043,2.125375819,3.328692389,4.218015352,2.88337175,2.592184819,3.757472558,2.641171316,2.3582148,2.93481279,21219954,7047,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2011,2.906737066,1.887377101,4.227983971,2.887117587,1.908270911,3.214422813,3.961234334,2.67272329,2.652359324,3.834457822,2.41558439,2.052514126,2.961497681,21942296,7094,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2012,,,,,,,,,,,,,,22685632,7230,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2013,2.759893341,1.920762975,5.026032947,3.693878457,2.066496917,3.025866088,3.655328564,2.403805667,2.470470282,3.835517039,2.888530211,2.145922872,3.147254212,23448202,7488,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2014,2.606999356,2.014313807,4.695090025,3.539878276,1.939448733,2.922874629,3.515020325,2.49929276,2.340302787,3.836603546,2.607471829,2.117802606,3.037738474,24227524,7546,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2015,,,,,,,,,,,,,,25021974,7615,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2016,,,,,,,,,,,,,,25334508,7039,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Angola,2017,,,,,,,,,,,,,,29784193,6887,Upper middle income,Sub-Saharan Africa,Sub-Saharan Africa
Argentina,2007,2.988951217,3.027264554,4.913643243,5.605168417,4.221343655,3.527583634,3.491984133,3.491802132,2.964508653,4.829087106,3.968214885,2.911690164,3.874690438,39969903,13873,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2008,2.935199916,2.915999577,5.054625743,5.579532419,4.137527868,3.554684804,3.471475059,3.463985223,3.18947867,4.767460504,3.991307989,2.868917156,3.873598033,40381860,14646,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2009,2.942762708,3.110736542,4.866897795,5.536814783,4.201023336,3.465409004,3.587373359,3.365196437,3.542301882,4.869175019,3.936908162,2.948070314,3.909176693,40798641,14605,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2010,2.985505843,3.625045029,4.761941455,5.789779821,4.459182873,3.144712964,3.564022804,3.15104256,3.522150084,4.845321467,3.803314668,3.04612771,3.949235396,41222875,15765,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2011,2.927605972,3.702875845,4.877223252,5.800096492,4.47681685,3.232692034,3.522658879,3.260508505,3.714963457,4.880978699,3.777725125,3.079355202,3.994582217,41655616,16972,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2012,2.846900802,3.58422515,4.331538231,5.819965531,4.594167286,3.183423438,3.288943955,3.1804836,3.846518547,4.939797829,3.717988838,2.976050152,3.873581456,42095224,17101,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2013,2.794880315,3.516520452,4.071020758,5.837695663,4.621682946,3.062874954,3.146229223,3.051626621,3.377795761,4.95444947,3.710874501,2.989533273,3.762859197,42538304,17629,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2014,2.789075065,3.536355579,4.216296858,5.777158801,4.830851274,3.144478497,2.972366339,3.043763157,3.540017944,4.969724581,3.691711209,3.042485226,3.79441218,42980026,17519,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
Argentina,2015,2.86340434,3.575732114,4.072237744,5.754923775,4.891032215,3.115493608,3.097084824,2.808223158,3.860657529,4.998476818,3.619593414,3.107859412,3.792527041,43416755,17344,Not classified,Latin America and the Caribbean,Latin America and the Caribbean
